"","X1","CountryName","finalscore_child","finalrank_comm","finalrank_diversity","finalrank_edu","finalrank_emission","finalrank_empl","finalrank_eng","finalrank_env","finalrank_deficit","finalrank_gen","finalrank_GDP","finalrank_pop","finalscore_security","finalrank_tourism","finalrank_hpi","finalrank_neg","finalrank_pos","ourindex","finalindex","region","sub.region"
"77",77,"Italy",39,27.5,155,12.5,155,54,83,66,62.75,40,40.5,39,13,38,53.5,123,65,62.75,31,"Europe","Southern Europe"
"78",78,"Jamaica",83,112.5,135,79.5,103,79,89.5,126,32,138,138,174.5,116,103.78125,67.5,87,100,103.78125,155,"Americas","Caribbean"
"79",79,"Japan",1,52,157,70.5,173,24,108,44.5,70.5,158,1,116.5,2,66,40.5,18,96,70.5,52,"Asia","Eastern Asia"
"80",80,"Jordan",81,79.5,79,38.5,114,40,132.5,195,7,144,139,54.5,43,54,84.625,107,46,84.625,100,"Asia","Western Asia"
"81",81,"Kazakhstan",57,37,46,66.21875,190,63,140.5,189,11,57,24,9,82,30,50,8,66,66.21875,35,"Asia","Central Asia"
"82",82,"Kenya",99,140,12,81.0666666666667,33,4,34,148.5,70,94,124,174.5,73,81.0666666666667,103,20,87,81.0666666666667,87,"Africa","Eastern Africa"
"83",83,"Kiribati",107,187.5,116.95,116.95,46,97,192,95.5,15,163,116.95,183.5,83,116.95,116.95,116.95,116.95,116.95,170,"Oceania","Micronesia"
"84",84,"Kuwait",41,7.5,39,45,200,3,194,176.5,10,186,103,158,38,92.3846153846154,92.3846153846154,92.3846153846154,92.3846153846154,92.3846153846154,122,"Asia","Western Asia"
"85",85,"Kyrgyzstan",82,108,42,69.8928571428571,69.8928571428571,69.8928571428571,47,173.5,27,73,150,22.5,68,51,69.5,5,60,69.8928571428571,49,"Asia","Central Asia"
"86",86,"Lao PDR",114,166,79.6363636363636,79.6363636363636,22,118,100,17,68,64.5,59,70.5,77,79.6363636363636,79.6363636363636,79.6363636363636,79.6363636363636,79.6363636363637,83,NA,NA
"87",87,"Latvia",30,40,61,5,117,23,27,29,43.5625,101,9,29,52,4,72,63,35,43.5625,5,"Europe","Northern Europe"
"88",88,"Lebanon",40,110,22,98.7857142857143,128,98.7857142857143,116.5,187,21,178.5,116,153.5,66,98.7857142857143,108.5,129,7,98.7857142857143,141,"Asia","Western Asia"
"89",89,"Lesotho",129,170.5,119,117.857142857143,64,117.857142857143,202,197.5,46,64.5,142,156,119,117.857142857143,93.5,56,91,117.857142857143,171,"Africa","Southern Africa"
"90",90,"Liberia",109,185,5,103,25,115,137,124,82,151,140,157,50,103,103,146,16,103,153.5,"Africa","Western Africa"
"91",91,"Libya",51,83.5,139,41.5,169,107.923076923077,138,205,107.923076923077,117,125,79,46,107.923076923077,107.923076923077,138,71,107.923076923077,160,"Africa","Northern Africa"
"92",92,"Lithuania",16,18,105,5,124,25,54.5,59.5,50.28125,72,28.5,38,75,29,50,91,14,50.28125,12,"Europe","Northern Europe"
"93",93,"Luxembourg",4,2,47.3461538461538,47.3461538461538,197,13,103,35,47.3461538461538,48,19,36,2,47.3461538461538,15.5,36,105,47.3461538461538,9,"Europe","Western Europe"
"94",94,"Macedonia",49,83.5,72,48,71.3846153846154,71.3846153846154,69,103,71.3846153846154,31,81,111.5,17,71.3846153846154,103,132,28,71.3846153846154,55,"Europe","Southern Europe"
"95",95,"Madagascar",63,195,10,86.0357142857143,11,119,142.5,154,80,86,146,81,7,86.0357142857143,86.0357142857143,40,70,86.0357142857143,107,"Africa","Eastern Africa"
"96",96,"Malawi",104,196.5,14,109,8,96.3,149,63,67,109.5,151,169.5,34,96.3,129,64,77,96.3,132,"Africa","Eastern Africa"
"97",97,"Malaysia",11,34,59,69,165,55,115,34,15,154,11,123.5,34,67.21875,37,48,111,67.21875,39,"Asia","South-Eastern Asia"
"98",98,"Mali",120,157,30,118,9,99.75,130.5,173.5,15,162,136,139.5,99,99.75,99.75,23,84,99.75,145,"Africa","Western Africa"
"99",99,"Malta",20,43.5,84.3333333333333,56,146,30,140.5,191,84.3333333333333,136,36,159,33,22,45,140,67,84.3333333333333,97,"Europe","Southern Europe"
"100",100,"Mauritania",124,154.5,54,99.1071428571429,47,99.1071428571429,174,197.5,27,63,144,111.5,104,99.1071428571429,85,12,90,99.1071428571429,143,"Africa","Western Africa"
"101",101,"Mauritius",53,97,53,72,107,49,99,181,22,148,48.5,122,42,58,64,68,103,81.5588235294118,90,"Africa","Eastern Africa"
"102",102,"Mexico",60,126,71,60,116,70,104,82.5,18,19,16,56.5,106,67,13,61,115,68.2941176470588,42,"Americas","Central America"
"103",103,"Moldova",83,117,78,8,71,69,121,171,81.6,79,71,86,67,89,81.6,96,18,81.6,91,"Europe","Eastern Europe"
"104",104,"Mongolia",38,120,118,47,138,90,146,141,74,122,76,19,78,83.90625,77.5,13,45,83.90625,96,"Asia","Eastern Asia"
"105",105,"Montenegro",33,32,57.6071428571429,26,121,44,13.5,44.5,57.6071428571429,104,106,16,25,57.6071428571429,77.5,145,19,57.6071428571429,22,"Europe","Southern Europe"
"106",106,"Morocco",80,65.5,90,103.5,84,95,89.5,138,20,107,68,135.5,26,81,85,84.5333333333333,84.5333333333333,84.5333333333333,99,"Africa","Northern Africa"
"107",107,"Mozambique",98,190,25,75.3214285714286,15,75.3214285714286,21.5,46,79,15,113.5,171.5,61,75.3214285714286,85,102,32,75.3214285714286,69,"Africa","Eastern Africa"
"108",108,"Myanmar",103,205,97.8571428571429,73,21,97.8571428571429,11,93.5,63,169,121,177,44,97.8571428571429,108.5,57,124,97.8571428571429,138,"Asia","South-Eastern Asia"
"109",109,"Namibia",120,130,36,83.2666666666667,69,76,71.5,73,90,10,129.5,106,110,83.2666666666667,89,32,107,83.2666666666667,95,"Africa","Southern Africa"
"110",110,"Nepal",62,169,43,103.5,19,74.71875,3,88,50,45,137,103.5,47,93,115.5,69,48,74.71875,64,"Asia","Southern Asia"
"111",111,"Netherlands",5,21.5,151,59.0666666666667,178,41,113,77,59.0666666666667,21,17.5,52,10,16,2,42,139,59.0666666666667,24,"Europe","Western Europe"
"112",112,"New Zealand",21,56.5,102,53.7,157,37,29,48,53.7,36,34.5,48,11,36,10.5,37,142,53.7,16,"Oceania","Australia and New Zealand"
"113",113,"Nicaragua",69,137,95,79.96875,55,92,32.5,50.5,64,11,95,113.5,104,63,71,118,109,79.96875,84,"Americas","Central America"
"114",114,"Niger",119,200.5,52,122,10,94.0333333333333,152,159,38,133,97.5,49.5,65,94.0333333333333,129,22,62,94.0333333333333,128,"Africa","Western Africa"
"115",115,"Nigeria",130,138.5,18,88.0714285714286,42,88.0714285714286,7,138,24,175,58,209,94,88.0714285714286,58.5,55,86,88.0714285714286,111,"Africa","Western Africa"
"116",116,"Norway",2,21.5,146,48.6071428571429,177,9,6,97.5,48.6071428571429,14,25.5,2,15,48.6071428571429,4,31,130,48.6071428571429,11,"Europe","Northern Europe"
"117",117,"Oman",47,27.5,91,55,195,5,180.5,178,88.5,187,119,67,23,23,21.5,108,88.5,88.5,113.5,"Asia","Western Asia"
"118",118,"Pakistan",125,168,73,112,59,102.035714285714,35.5,161.5,72,84,143,110,81,102.035714285714,77.5,127,102.035714285714,102.035714285714,152,"Asia","Southern Asia"
"119",119,"Panama",64,50,80,70,101,69,76,37,42,96,68.75,46,107,64,24,33,141,68.75,44,"Americas","Central America"
"120",120,"Papua New Guinea",109,192,1,109,51,109.727272727273,165,84,109.727272727273,183,69,146,98,109.727272727273,109.727272727273,109.727272727273,109.727272727273,109.727272727273,162,"Oceania","Melanesia"
"121",121,"Paraguay",59,123,143,53,56,84,5,104.5,44,120,60,56.5,90,79,45,52,145,77.5882352941177,72,"Americas","South America"
"122",122,"Peru",54,115,51,59,87,89,68,24,34,75,28.5,41,73,73,53.5,139,95,68.1764705882353,41,"Americas","South America"
"123",123,"Philippines",94,119,137,92.5357142857143,58,80,56.5,143,46,52,37,162,93,92.5357142857143,89,92.5357142857143,129,92.5357142857143,124,"Asia","South-Eastern Asia"
"124",124,"Poland",22,32,153,2.5,167,50,93.5,47,60.5625,68,25.5,49.5,9,50,45,70,85,60.5625,26,"Europe","Eastern Europe"
"125",125,"Portugal",18,65.5,154,43,129,48,48,71.5,69.2333333333333,38,55,43,27,69.2333333333333,93.5,133,72,69.2333333333333,45,"Europe","Southern Europe"
"126",126,"Qatar",39,20,101.681818181818,46,202,1,182,196,101.681818181818,190.5,7,148,87,101.681818181818,101.681818181818,101.681818181818,101.681818181818,101.681818181818,150,"Asia","Western Asia"
"127",127,"Republic of Congo",92,146.5,96.6666666666667,95,96.6666666666667,96.6666666666667,51.5,7,83,166,129.5,68,97,92,132.5,96.6666666666667,96.6666666666667,96.6666666666667,133,"Africa","Western Africa"
"128",128,"Romania",46,101,112,33,119,67,59,71.5,69.75,128,54,31,26,32,77.5,122,37,69.75,48,"Europe","Eastern Europe"
"129",129,"Russia",33,30,106,17,60.3214285714286,60.3214285714286,116.5,61.5,60.3214285714286,129,77,34,88,44,58.5,11,39,60.3214285714286,25,"Europe","Eastern Europe"
"130",130,"Rwanda",89,180.5,133,101,4,116,145,129,86,1,111,190,60,98.1875,136.5,15,74,98.1875,139,"Africa","Eastern Africa"
"131",131,"Samoa",93,172.5,90.5833333333333,25,67,74,127,101.5,12,171,90.5833333333333,143,52,49,90.5833333333333,90.5833333333333,90.5833333333333,90.5833333333333,119,"Oceania","Polynesia"
"132",132,"Saudi Arabia",59,25.5,67,49,194,6,171.5,118,5,93,52,92.5,74,27,75.21875,89,81,75.21875,67.5,"Asia","Western Asia"
"133",133,"Senegal",104,154.5,34,115,48,110,43,30.5,57,6,117,99,84,78.34375,134.5,34,83,78.34375,78,"Africa","Western Africa"
"134",134,"Serbia",43,69.5,71.75,27.5,151,68,71.5,131.5,71.75,29,131,30,28,71.75,77.5,144,3,71.75,56,"Europe","Southern Europe"
"135",135,"Seychelles",62,58,77.7083333333333,52,158,33,187.5,81,77.7083333333333,4,44,185,40,28,77.7083333333333,77.7083333333333,77.7083333333333,77.7083333333333,76,"Africa","Eastern Africa"
"136",136,"Sierra Leone",133,196.5,27,114,16,95.96875,155.5,93.5,77,143,73,120.5,35,96,108.5,141,6,95.96875,131,"Africa","Western Africa"
"137",137,"Singapore",28,11.5,97,22,111,35,142.5,157,62.5,62,17.5,168,1,6,62.5,10,69,62.5,30,"Asia","South-Eastern Asia"
"138",138,"Slovakia",29,53,107,52.8846153846154,52.8846153846154,52.8846153846154,65.5,23,52.8846153846154,98,12,27,24,42,50,93,64,52.8846153846154,15,"Europe","Eastern Europe"
"139",139,"Slovenia",8,67,123,10.5,160,47,49.5,1,46.625,23,50,10,5,11,37,101,43,46.625,7,"Europe","Southern Europe"
"140",140,"Somalia",132,202,16,112.181818181818,6,112.181818181818,127,189,112.181818181818,126,92.5,166.5,112.181818181818,112.181818181818,112.181818181818,29,148,112.181818181818,164,"Africa","Eastern Africa"
"141",141,"South Africa",120,73,8,54,172,32,97,166,9,7,61,120.5,117,70,77.5,38,98,77.6470588235294,74,"Africa","Southern Africa"
"142",142,"South Korea",31,50,158,66.8571428571429,66.8571428571429,66.8571428571429,112,69,3,112,21,165,12,46,45,60,52,66.8571428571429,37,"Asia","South-Eastern Asia"
"143",143,"Spain",31,61,82,24,139,44,63.5,43,51.75,13,14,18,6,52,31.5,124,82,51.75,13,"Europe","Southern Europe"
"144",144,"Sri Lanka",15,133,93,71,50,86,19.5,77,81,174,79,107.5,48,83,115.5,26,114,80.7352941176471,86,"Asia","Southern Asia"
"145",145,"Sudan",112,150,88.125,93,34,88.125,44.5,155,75,42,88.125,161,76,88.125,88.125,79,36,88.125,112,"Africa","Northern Africa"
